"sep=,"
STATUS,TASK,REACTION,ENANTIOMER,R1,R2,RCAT,RCH,STATIONARY_POINT,DIRECTORY,FLAGS,INXYZ,OUTXYZ,RUNTIME,STEP,HASH
Running,GO,urea_tBu_Ph,R,H,Ph,,O,P1R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\P1R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\P1R_cat_complex\input.xyz,,01:02:14,GO,b0693f9e631444c871412593fa38a05a3f3050d558f7fcd345cdb2eab5804325
Running,GO,urea_tBu_Ph,S,H,Ph,,O,P1S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\P1S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\P1S_cat_complex\input.xyz,,00:12:42,FREQ,1d05fa7c4170fed4d1e730d6a758699748b45993146d071df4316fb129a063db
Success,GO,urea_tBu_Ph,N/A,H,Ph,,,P2,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\P2,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\P2\input.xyz,,01:12:20,FREQ,f33894258c9f3a01f4d0f3379ad3f5caa65e7dc17262bc674c20cf9ae9820576
Running,GO,urea_tBu_Ph,R,H,Ph,,O,P2R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\P2R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\P2R_cat_complex\input.xyz,,04:18:12,FREQ,24b8aabce8f736356e1624f9901f8ca2bcc9d93c3063a32b9bea69b5f5445fa0
Running,GO,urea_tBu_Ph,S,H,Ph,,O,P2S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\P2S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\P2S_cat_complex\input.xyz,,00:29:26,GO,729943bcad94f65100b4595220267912b8f018b697c3b78d710d9f7e4af500a0
Success,GO,urea_tBu_Ph,N/A,H,Ph,,,sub,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\sub,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\sub\input.xyz,,00:38:38,FREQ,8e0bbd79aeb04fd96a9320a54ef7f4bfd7649e7c48c7cfc310460ea97618129d
Queued,GO,urea_tBu_Ph,N/A,H,Ph,,O,sub_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\sub_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\sub_cat_complex\input.xyz,,00:00:00,,34149c4d9f34bf84857c3659209f0d409157db958fce6e8cb44481504eff37a5
Queued,TSRC,urea_tBu_Ph,R,H,Ph,,O,TSR,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\TSR,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\TSR\input.xyz,,00:00:00,,a6a67698b100f73fdf209512bf318ce3248429f6b6e9269ca7f356bf4eceac60
Queued,TSRC,urea_tBu_Ph,S,H,Ph,,O,TSS,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_O.vacuum\TSS,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_O.vacuum\TSS\input.xyz,,00:00:00,,ae0494b902b29473ed0606c62b6871cd73bfc8d22c0af18a3ac88b934f0c67e2
Queued,GO,urea_tBu_Ph,N/A,,,,S,cat,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_S.vacuum\cat,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_S.vacuum\cat\input.xyz,,00:00:00,,57ccca94fe8bb7cdf735d40336813745f033d21a7348e94f5eb86885a3708506
