"sep=,"
ID,STATUS,TASK,REACTION,ENANTIOMER,R1,R2,RCAT,RCH,STATIONARY_POINT,DIRECTORY,FLAGS,INXYZ,OUTXYZ,RUNTIME,PROGRESS,HASH
27,Success,GO,achiral_catalyst,,,,AlF3,,Rcat,achiral_catalyst_H_Ph_AlF3\27.achiral_catalyst.H_Ph_AlF3.Rcat,GO Rcat=AlF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\27.achiral_catalyst.H_Ph_AlF3.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\27.achiral_catalyst.H_Ph_AlF3.Rcat\output.xyz,00:07:41,FREQ 4,80489e3cd453a47f0e62d02bae6ac23bd99a3a9b0e6abfc6590e123f590928c9
28,Success,GO,achiral_catalyst,,H,Ph,AlF3,,Rsub_cat_complex,achiral_catalyst_H_Ph_AlF3\28.achiral_catalyst.H_Ph_AlF3.Rsub_cat_complex,GO R1=H R2=Ph Rcat=AlF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\28.achiral_catalyst.H_Ph_AlF3.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\28.achiral_catalyst.H_Ph_AlF3.Rsub_cat_complex\output.xyz,19:31:02,FREQ 22,8c25c0f1cf065416de25441ce54ae8928a21c506312e6e0356cb3502ca74ed28
29,Success,TSRC,achiral_catalyst,,H,Ph,AlF3,,TS,achiral_catalyst_H_Ph_AlF3\29.achiral_catalyst.H_Ph_AlF3.TS,R1=H R2=Ph Rcat=AlF3 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\29.achiral_catalyst.H_Ph_AlF3.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\29.achiral_catalyst.H_Ph_AlF3.TS\output.xyz,85:32:01,FREQ 26,fc552ff5ac112831ca3f5f23e0318cf0ab0c4df18f7f044cd4dcad08832c4885
30,Running,GO,achiral_catalyst,,H,Ph,AlF3,,P1,achiral_catalyst_H_Ph_AlF3\30.achiral_catalyst.H_Ph_AlF3.P1,GO R1=H R2=Ph Rcat=AlF3 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\30.achiral_catalyst.H_Ph_AlF3.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\30.achiral_catalyst.H_Ph_AlF3.P1\output.xyz,81:05:36,FREQ 6,399761170190bc111b6f80a0007867e24ae2cfee7d321905241761543f09fc24
31,Success,GO,achiral_catalyst,,H,Ph,AlF3,,P2,achiral_catalyst_H_Ph_AlF3\31.achiral_catalyst.H_Ph_AlF3.P2,GO R1=H R2=Ph Rcat=AlF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\31.achiral_catalyst.H_Ph_AlF3.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_AlF3\31.achiral_catalyst.H_Ph_AlF3.P2\output.xyz,41:52:27,FREQ 27,52d42d68486e89b8345ac2d42e9eb4bdf90584599d03eb3fb7cf242876e85fd7
22,Success,GO,achiral_catalyst,,,,BF3,,Rcat,achiral_catalyst_H_Ph_BF3\22.achiral_catalyst.H_Ph_BF3.Rcat,GO Rcat=BF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\22.achiral_catalyst.H_Ph_BF3.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\22.achiral_catalyst.H_Ph_BF3.Rcat\output.xyz,00:05:27,FREQ 4,beff522a0719b63a020967b66e38eb3344696f2316ee8daf106f92e0b223453c
23,Success,GO,achiral_catalyst,,H,Ph,BF3,,Rsub_cat_complex,achiral_catalyst_H_Ph_BF3\23.achiral_catalyst.H_Ph_BF3.Rsub_cat_complex,GO R1=H R2=Ph Rcat=BF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\23.achiral_catalyst.H_Ph_BF3.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\23.achiral_catalyst.H_Ph_BF3.Rsub_cat_complex\output.xyz,19:07:07,FREQ 22,1856068a812fab8a05ddaf9bd6249ba9ec234007f403c7549dcd0ff6d00cb124
24,Success,TSRC,achiral_catalyst,,H,Ph,BF3,,TS,achiral_catalyst_H_Ph_BF3\24.achiral_catalyst.H_Ph_BF3.TS,R1=H R2=Ph Rcat=BF3 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\24.achiral_catalyst.H_Ph_BF3.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\24.achiral_catalyst.H_Ph_BF3.TS\output.xyz,71:29:55,FREQ 26,685965dec4061a76d0983cd352f7f9b1232333d647ff1bdc604b97b8f4d87e48
25,Success,GO,achiral_catalyst,,H,Ph,BF3,,P1,achiral_catalyst_H_Ph_BF3\25.achiral_catalyst.H_Ph_BF3.P1,GO R1=H R2=Ph Rcat=BF3 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\25.achiral_catalyst.H_Ph_BF3.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\25.achiral_catalyst.H_Ph_BF3.P1\output.xyz,89:28:10,FREQ 26,122dc312f9133885ba2dfff476f15b6022c9fd38567fd6b7a530e33c212dd2f7
26,Success,GO,achiral_catalyst,,H,Ph,BF3,,P2,achiral_catalyst_H_Ph_BF3\26.achiral_catalyst.H_Ph_BF3.P2,GO R1=H R2=Ph Rcat=BF3,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\26.achiral_catalyst.H_Ph_BF3.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_BF3\26.achiral_catalyst.H_Ph_BF3.P2\output.xyz,38:46:15,FREQ 27,322d8b00b8aa8f5fbf4e97e7ae597b9f32172a86580417298ace96ccaad006a1
17,Success,GO,achiral_catalyst,,,,I2,,Rcat,achiral_catalyst_H_Ph_I2\17.achiral_catalyst.H_Ph_I2.Rcat,GO Rcat=I2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\17.achiral_catalyst.H_Ph_I2.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\17.achiral_catalyst.H_Ph_I2.Rcat\output.xyz,00:05:43,FREQ 2,5c48c4efebd113928832cacec119f9a6c045161d1f6994cb176846388f877834
18,Success,GO,achiral_catalyst,,H,Ph,I2,,Rsub_cat_complex,achiral_catalyst_H_Ph_I2\18.achiral_catalyst.H_Ph_I2.Rsub_cat_complex,GO R1=H R2=Ph Rcat=I2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\18.achiral_catalyst.H_Ph_I2.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\18.achiral_catalyst.H_Ph_I2.Rsub_cat_complex\output.xyz,20:35:34,FREQ 20,2b841604d493c430c9282bd1ef684f5a0bd7ce29359f031e1b3f2b2e8be36908
19,Success,TSRC,achiral_catalyst,,H,Ph,I2,,TS,achiral_catalyst_H_Ph_I2\19.achiral_catalyst.H_Ph_I2.TS,R1=H R2=Ph Rcat=I2 TSRC radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\19.achiral_catalyst.H_Ph_I2.TS\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\19.achiral_catalyst.H_Ph_I2.TS\output.xyz,63:22:25,FREQ 24,7ae66dfd563a949bd300694108f3412c090b04e42ace0aea218f3f5799a71829
20,Success,GO,achiral_catalyst,,H,Ph,I2,,P1,achiral_catalyst_H_Ph_I2\20.achiral_catalyst.H_Ph_I2.P1,GO R1=H R2=Ph Rcat=I2 radical,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\20.achiral_catalyst.H_Ph_I2.P1\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\20.achiral_catalyst.H_Ph_I2.P1\output.xyz,92:05:01,FREQ 24,06b9613c4414593ae61f4fb7996763e3ab05ca24e15ec57119efe6e0a1bbde75
21,Success,GO,achiral_catalyst,,H,Ph,I2,,P2,achiral_catalyst_H_Ph_I2\21.achiral_catalyst.H_Ph_I2.P2,GO R1=H R2=Ph Rcat=I2,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\21.achiral_catalyst.H_Ph_I2.P2\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_I2\21.achiral_catalyst.H_Ph_I2.P2\output.xyz,38:31:31,FREQ 25,b56f2d4f8cf89ad6e1ade07df9b7048115c39453b547bc58507a64aacc6002e5
11,Success,GO,achiral_catalyst,,,,TiCl4,,Rcat,achiral_catalyst_H_Ph_TiCl4\11.achiral_catalyst.H_Ph_TiCl4.Rcat,GO Rcat=TiCl4,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\11.achiral_catalyst.H_Ph_TiCl4.Rcat\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\11.achiral_catalyst.H_Ph_TiCl4.Rcat\output.xyz,00:23:07,FREQ 5,815275c6df4842385f7a79c7e5e1f1744fc7a4605ab67383ed91bfc97b78f3ed
12,Success,GO,achiral_catalyst,,H,Ph,TiCl4,,Rsub_cat_complex,achiral_catalyst_H_Ph_TiCl4\12.achiral_catalyst.H_Ph_TiCl4.Rsub_cat_complex,GO R1=H R2=Ph Rcat=TiCl4,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\12.achiral_catalyst.H_Ph_TiCl4.Rsub_cat_complex\input.xyz,D:\Users\Yuman\Desktop\MasterProject\results\achiral_catalyst_H_Ph_TiCl4\12.achiral_catalyst.H_Ph_TiCl4.Rsub_cat_complex\output.xyz,26:23:16,FREQ 23,c2d32bb09f5a9c48dc2fc27a1a884eda333183905c626ec65b22162401c1dd67
